cluster_label,mean_thermal_conductivity,mean_density,count
0,3.7858883676211454,5.855880937720174,227
1,12.064434039866667,6.07685123020784,30
2,4.436508769230769,,65
3,47.26423057142858,2.776766755331727,35
4,5.897368826328767,7.875055344349494,73
5,25.477586206896554,7.258963866250764,29
6,70.17054177419355,5.634866956102522,62
7,4.686249999999999,1.999337152211547,40
8,2.3546875,6.033335889701075,16
9,2.6059838095238095,,42
10,63.940540540540546,3.2661268254530054,37
11,6.925,,4
12,1.763140412371134,4.423841431536792,97
